127.0.0.1 - - [22/Mar/2021:18:32:00 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:32:22 +0900] "GET /project/WEB-INF/views/hodu/account/join.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:32:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:32:29 +0900] "GET /project/hodu/account/join HTTP/1.1" 200 31613
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:32:30 +0900] "GET /project/resources/vendor/jquery/jquery.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:32:30 +0900] "GET /project/resources/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:32:30 +0900] "GET /project/resources/assets_headfoot/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:32:30 +0900] "GET /project/resources/assets_headfoot/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:32:30 +0900] "GET /project/resources/assets_headfoot/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:32:30 +0900] "GET /project/resources/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:32:30 +0900] "GET /project/resources/assets_detail/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:32:30 +0900] "GET /project/resources/vendor/jquery/jquery.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:33:36 +0900] "GET /project/hodu/account/join HTTP/1.1" 200 31649
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:33:36 +0900] "GET /project/resources/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:33:36 +0900] "GET /project/resources/vendor/jquery/jquery.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:33:36 +0900] "GET /project/resources/vendor/jquery/jquery.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:33:37 +0900] "GET /project/resources/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:33:44 +0900] "GET /project/hodu/account/join HTTP/1.1" 200 8204
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:33:45 +0900] "GET /project/hodu/account/join HTTP/1.1" 200 31649
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:33:45 +0900] "GET /project/resources/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:33:45 +0900] "GET /project/resources/vendor/jquery/jquery.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:33:45 +0900] "GET /project/resources/vendor/jquery/jquery.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:33:45 +0900] "GET /project/resources/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:33:57 +0900] "GET /project/hodu/account/join HTTP/1.1" 200 31649
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:33:57 +0900] "GET /project/resources/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:33:57 +0900] "GET /project/resources/vendor/jquery/jquery.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:33:57 +0900] "GET /project/resources/assets_headfoot/css/footer.css HTTP/1.1" 200 3068
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:33:57 +0900] "GET /project/resources/assets_headfoot/css/header.css HTTP/1.1" 200 7665
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:33:57 +0900] "GET /project/resources/assets_headfoot/js/custom.js HTTP/1.1" 200 2464
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:33:57 +0900] "GET /project/resources/assets_detail/css/font-awesome.min.css HTTP/1.1" 200 20766
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:33:57 +0900] "GET /project/hodu/account/join HTTP/1.1" 200 31649
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:33:57 +0900] "GET /project/resources/vendor/jquery/jquery.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:33:57 +0900] "GET /project/resources/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:33:57 +0900] "GET /project/resources/vendor/jquery/jquery.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:33:57 +0900] "GET /project/resources/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:35:57 +0900] "GET /project/hodu/account/join HTTP/1.1" 200 31667
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:35:57 +0900] "GET /project/resources/vendor/jquery/jquery.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:35:57 +0900] "GET /project/resources/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:35:58 +0900] "GET /project/resources/vendor/jquery/jquery.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:35:58 +0900] "GET /project/resources/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/hodu/main/mainpage HTTP/1.1" 200 18664
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/resources/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/resources/vendor/jquery/jquery.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/resources/assets_main/lib/slick/slick-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/resources/assets_main/lib/slick/slick.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/resources/assets_main/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/resources/assets_main/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/resources/assets_main/js/jquery.scrollex.min.js HTTP/1.1" 304 -
